Date,compound,neg,neu,pos,Close,Y-ENN
17-Sep-14,-0.9865,0.16699999999999998,0.765,0.068,213.9,114.27919756339878
18-Sep-14,-0.8591,0.091,0.8420000000000001,0.067,210.85,113.99059222998949
19-Sep-14,-0.9618,0.142,0.78,0.078,208.82,114.03386648381192
22-Sep-14,-0.9956,0.22699999999999998,0.7040000000000001,0.069,208.35,114.49705723802529
23-Sep-14,-0.9879,0.222,0.72,0.057,207.82,114.63594265742921
24-Sep-14,-0.965,0.142,0.7829999999999999,0.076,211.8,114.06552976034534
25-Sep-14,-0.9938,0.21899999999999997,0.743,0.038,207.59,114.86592083970116
26-Sep-14,-0.8519,0.128,0.758,0.114,201.46,113.41997800684503
29-Sep-14,-0.9349,0.13,0.7809999999999999,0.08900000000000001,200.1,113.817802063852
30-Sep-14,-0.9101,0.115,0.813,0.07200000000000001,209.18,114.01385435565933
1-Oct-14,-0.9877,0.18600000000000003,0.7120000000000001,0.102,209.82,113.86369257296516
2-Oct-14,-0.9954,0.188,0.759,0.053,209.54,114.5639484695505
3-Oct-14,-0.9942,0.223,0.716,0.062,206.08,114.57708981646937
9-Oct-14,-0.9829,0.182,0.736,0.08199999999999999,200.84,114.14246773292872
10-Oct-14,-0.9741,0.14400000000000002,0.8140000000000001,0.040999999999999995,203.8,114.55988696422305
13-Oct-14,0.8918,0.054000000000000006,0.85,0.095,213.68,113.62702897756013
14-Oct-14,-0.9378,0.08900000000000001,0.866,0.045,212.94,114.29199857028773
15-Oct-14,-0.9272,0.134,0.767,0.099,212.52,113.6812442993424
16-Oct-14,-0.9866,0.19,0.745,0.066,208.44,114.40099446933503
17-Oct-14,-0.9885,0.155,0.772,0.07400000000000001,207.06,114.14579393180594
20-Oct-14,-0.9325,0.10800000000000001,0.8320000000000001,0.06,206.39,114.15699132435006
21-Oct-14,-0.9935,0.19899999999999998,0.7659999999999999,0.035,206.94,114.83511707191542
22-Oct-14,-0.8555,0.114,0.795,0.091,208.3,113.72465360281807
23-Oct-14,-0.9796,0.147,0.782,0.071,214.11,114.154572090621
24-Oct-14,-0.7351,0.12,0.7959999999999999,0.085,211.57,113.87248060000233
27-Oct-14,-0.5574,0.12,0.775,0.105,216.51,113.57444122590961
28-Oct-14,-0.9655,0.125,0.79,0.086,215.36,113.83842409075909
29-Oct-14,-0.9912,0.196,0.732,0.07200000000000001,213.39,114.33867670566349
30-Oct-14,-0.9873,0.179,0.738,0.084,214.6,114.10260929349667
31-Oct-14,-0.9423,0.135,0.784,0.081,214.53,113.96164367675388
5-Nov-14,-0.9812,0.182,0.74,0.078,216.15,114.20013731683265
6-Nov-14,-0.9841,0.16,0.767,0.073,217.07,114.17963494930599
7-Nov-14,-0.9904,0.166,0.777,0.057,214.49,114.42701999162333
10-Nov-14,-0.9681,0.109,0.8340000000000001,0.057,213.59,114.19765318538512
11-Nov-14,-0.9933,0.184,0.7659999999999999,0.05,214.74,114.58916623875162
