Date,compound,neg,neu,pos,Close
15-Mar-12,-0.9489,0.146,0.808,0.045,119.78
16-Mar-12,-0.0516,0.09,0.821,0.089,103.89
19-Mar-12,-0.9423,0.136,0.807,0.057,101.79
20-Mar-12,-0.9471,0.144,0.777,0.079,103.4
21-Mar-12,-0.886,0.134,0.787,0.079,100.74
22-Mar-12,-0.6908,0.119,0.783,0.099,100.7
26-Mar-12,-0.9882,0.214,0.739,0.047,102.05
27-Mar-12,-0.4588,0.113,0.795,0.092,103.29
28-Mar-12,-0.975,0.181,0.759,0.06,108.06
29-Mar-12,-0.9674,0.176,0.755,0.07,109.86
30-Mar-12,-0.9756,0.18,0.777,0.043,111.37
2-Apr-12,-0.9856,0.198,0.758,0.044,110
3-Apr-12,-0.9855,0.221,0.734,0.046,112.82
4-Apr-12,0.2129,0.106,0.761,0.133,116.15
5-Apr-12,-0.9245,0.137,0.806,0.057,112.55
6-Apr-12,-0.9819,0.16,0.783,0.057,111.83
9-Apr-12,-0.9413,0.176,0.718,0.107,111.72
10-Apr-12,0.9485,0.082,0.746,0.172,108.98
11-Apr-12,-0.4215,0.09,0.827,0.084,110
12-Apr-12,-0.9367,0.113,0.815,0.072,108.95
13-Apr-12,-0.9206,0.154,0.75,0.096,110.11
16-Apr-12,-0.9869,0.204,0.71,0.085,107.9
17-Apr-12,-0.9713,0.152,0.817,0.031,108.21
18-Apr-12,-0.9913,0.184,0.773,0.043,109.47
19-Apr-12,-0.9339,0.165,0.729,0.106,109.06
20-Apr-12,-0.8727,0.107,0.825,0.068,108.81
23-Apr-12,-0.9555,0.177,0.723,0.1,110.25
24-Apr-12,-0.8681,0.138,0.769,0.093,112.92
25-Apr-12,-0.7845,0.118,0.788,0.094,116.28
26-Apr-12,-0.9494,0.15,0.769,0.081,113.77
27-Apr-12,-0.8872,0.111,0.843,0.047,113.42
30-Apr-12,-0.9836,0.153,0.807,0.04,111.97
2-May-12,-0.9874,0.182,0.779,0.038,111.64
3-May-12,-0.9893,0.17,0.774,0.056,114.49
4-May-12,-0.9655,0.134,0.823,0.043,116.54
7-May-12,-0.6705,0.084,0.847,0.069,115.87
8-May-12,-0.4391,0.113,0.777,0.11,114.17
9-May-12,-0.9257,0.139,0.793,0.068,115.29
10-May-12,-0.9348,0.168,0.738,0.094,113.47
11-May-12,-0.7906,0.159,0.716,0.125,111.25
14-May-12,-0.9687,0.192,0.711,0.096,112.22
15-May-12,-0.9118,0.106,0.838,0.056,114.01
16-May-12,-0.9439,0.157,0.777,0.066,111.59
17-May-12,-0.9888,0.208,0.767,0.025,110.99
18-May-12,-0.4767,0.047,0.919,0.034,109.08
21-May-12,-0.897,0.131,0.773,0.096,109.51
22-May-12,-0.7351,0.121,0.79,0.089,112
23-May-12,-0.9903,0.214,0.727,0.059,111.99
24-May-12,-0.975,0.21,0.734,0.056,112.01
25-May-12,-0.9861,0.192,0.764,0.045,112.41
28-May-12,-0.9917,0.268,0.651,0.081,112.1
29-May-12,-0.9745,0.196,0.708,0.096,112.38
30-May-12,-0.9485,0.163,0.741,0.096,109.98
31-May-12,-0.9226,0.142,0.789,0.069,105.26
1-Jun-12,0.946,0.049,0.815,0.136,106.18
4-Jun-12,-0.9656,0.163,0.766,0.071,106.35
5-Jun-12,-0.9831,0.162,0.817,0.021,105.15
6-Jun-12,-0.9371,0.126,0.848,0.026,105.21
7-Jun-12,-0.9712,0.205,0.687,0.108,104.71
8-Jun-12,-0.9136,0.16,0.779,0.061,103.9
11-Jun-12,-0.9799,0.151,0.836,0.014,104.2
12-Jun-12,-0.4588,0.093,0.825,0.082,103.56
13-Jun-12,-0.7003,0.119,0.79,0.091,103.89
14-Jun-12,-0.9748,0.169,0.795,0.036,106.24
15-Jun-12,-0.9584,0.207,0.793,0,107.29
18-Jun-12,-0.9647,0.193,0.718,0.089,107.75
19-Jun-12,-0.8689,0.148,0.736,0.115,108.09
20-Jun-12,-0.8859,0.102,0.835,0.063,108.61
21-Jun-12,-0.9719,0.164,0.795,0.042,107.41
22-Jun-12,-0.1901,0.036,0.924,0.04,107.54
25-Jun-12,-0.9492,0.075,0.895,0.03,108.2
26-Jun-12,-0.955,0.156,0.826,0.018,108.5
27-Jun-12,-0.8126,0.13,0.798,0.072,109.75
28-Jun-12,-0.9753,0.178,0.754,0.067,110.95
29-Jun-12,-0.25,0.139,0.732,0.13,112.84
2-Jul-12,-0.9477,0.127,0.849,0.024,114.01
3-Jul-12,-0.9169,0.142,0.77,0.088,114.05
4-Jul-12,-0.3182,0.101,0.794,0.105,113.52
5-Jul-12,-0.9231,0.199,0.657,0.144,113.2
6-Jul-12,-0.0772,0.065,0.866,0.069,114.45
9-Jul-12,-0.4788,0.113,0.77,0.117,114.33
10-Jul-12,-0.9776,0.173,0.761,0.066,113.28
11-Jul-12,-0.6126,0.129,0.763,0.109,112.99
12-Jul-12,-0.9893,0.196,0.752,0.052,113.05
13-Jul-12,-0.8944,0.114,0.849,0.036,112.61
16-Jul-12,-0.8395,0.14,0.787,0.074,113.72
17-Jul-12,-0.9839,0.169,0.771,0.06,114.98
18-Jul-12,-0.91,0.143,0.757,0.1,115.49
19-Jul-12,-0.9535,0.119,0.849,0.032,114.99
20-Jul-12,-0.9362,0.146,0.785,0.069,115.03
23-Jul-12,0.8316,0.078,0.786,0.136,112.58
24-Jul-12,-0.6369,0.101,0.817,0.083,113.19
